                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.80638,                0.65019,                 1.0544,                0.90098,                0.96977,                  0.958,                0.68715,                 1.0584,                0.55921,                 1.3053,             0.00065403,             0.00065403,             0.00065403
                     88,                0.81674,                0.64285,                 1.0585,                0.88481,                0.92788,                0.95381,                0.67425,                 1.1432,                0.57593,                 1.3037,             0.00065103,             0.00065103,             0.00065103
                     89,                 0.7877,                0.64379,                 1.0471,                0.98615,                0.96153,                0.98454,                0.70821,                 1.0367,                0.50973,                 1.2232,             0.00064803,             0.00064803,             0.00064803
                     90,                 0.8144,                0.62914,                  1.063,                0.97399,                0.97131,                0.97402,                0.71549,                0.98848,                0.50428,                 1.2286,             0.00064503,             0.00064503,             0.00064503
                     91,                0.80919,                0.64927,                 1.0612,                0.94252,                0.93694,                0.94918,                0.68157,                 1.0525,                  0.541,                 1.2178,             0.00064203,             0.00064203,             0.00064203
                     92,                0.79441,                0.62106,                 1.0372,                0.94856,                0.91146,                0.94446,                0.64218,                  1.133,                0.57351,                 1.2892,             0.00063903,             0.00063903,             0.00063903
                     93,                0.80032,                0.61409,                 1.0501,                0.94009,                0.92824,                0.95317,                0.68026,                 1.0169,                0.58593,                 1.2171,             0.00063603,             0.00063603,             0.00063603
                     94,                0.78945,                 0.6044,                 1.0553,                0.94721,                0.94217,                0.97279,                0.71009,                0.98494,                0.51062,                 1.2095,             0.00063303,             0.00063303,             0.00063303
                     95,                0.76678,                0.59805,                 1.0383,                0.94052,                 0.9154,                0.97062,                0.68076,                 1.0801,                0.60876,                 1.2255,             0.00063003,             0.00063003,             0.00063003
                     96,                0.77363,                   0.61,                 1.0446,                0.93155,                0.91378,                0.95889,                0.64203,                 1.1751,                0.59437,                 1.2603,             0.00062703,             0.00062703,             0.00062703
                     97,                0.76115,                0.59764,                 1.0283,                0.97111,                0.95744,                0.97349,                0.70362,                  1.009,                0.49783,                 1.2336,             0.00062403,             0.00062403,             0.00062403
                     98,                0.75647,                0.61818,                  1.039,                0.92524,                0.88941,                0.91948,                0.68635,                 1.0506,                0.54051,                 1.2604,             0.00062103,             0.00062103,             0.00062103
                     99,                 0.7538,                0.60798,                 1.0314,                0.97602,                0.97338,                0.98598,                0.69968,                 1.0384,                0.50113,                 1.2677,             0.00061803,             0.00061803,             0.00061803
                    100,                0.77247,                0.60732,                 1.0446,                0.93052,                0.97126,                0.97614,                0.70483,                 1.0339,                0.49974,                 1.2364,             0.00061503,             0.00061503,             0.00061503
                    101,                0.76085,                0.58127,                 1.0352,                0.95519,                0.95549,                 0.9758,                  0.712,                0.95852,                0.51047,                 1.1844,             0.00061203,             0.00061203,             0.00061203
                    102,                0.75901,                0.58731,                 1.0373,                0.92129,                0.81972,                0.92953,                0.66709,                 1.0638,                0.70146,                 1.2546,             0.00060903,             0.00060903,             0.00060903
                    103,                0.78607,                0.61366,                 1.0494,                0.95721,                  0.951,                0.96912,                0.67294,                 1.1373,                0.56507,                 1.2521,             0.00060603,             0.00060603,             0.00060603
                    104,                0.74886,                0.57617,                  1.028,                0.93886,                0.95053,                0.97691,                0.69815,                 1.0594,                0.51908,                 1.2312,             0.00060303,             0.00060303,             0.00060303
                    105,                0.74731,                 0.5569,                 1.0278,                0.96025,                0.98685,                0.98538,                0.73453,                0.97052,                0.50045,                 1.1704,             0.00060003,             0.00060003,             0.00060003
                    106,                0.75725,                0.57716,                 1.0229,                0.93504,                0.95102,                0.96876,                0.71838,                0.99276,                0.51632,                 1.1935,             0.00059703,             0.00059703,             0.00059703
                    107,                0.73618,                0.55146,                 1.0214,                0.95132,                0.94147,                0.96302,                0.69679,                 1.0589,                0.50862,                 1.2125,             0.00059403,             0.00059403,             0.00059403
                    108,                0.75475,                0.57318,                 1.0297,                0.87716,                0.91225,                0.93774,                0.65095,                 1.1469,                 0.6208,                  1.302,             0.00059103,             0.00059103,             0.00059103
                    109,                0.74336,                0.57161,                  1.023,                0.97443,                0.97179,                0.98561,                0.72098,                 1.0057,                0.50035,                 1.2277,             0.00058803,             0.00058803,             0.00058803
                    110,                0.71868,                0.56181,                  1.013,                0.97526,                0.98067,                 0.9866,                 0.7046,                 1.0623,                0.46673,                 1.2444,             0.00058503,             0.00058503,             0.00058503
